Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date
ACCID436,460870,452580,-1.073638,53.965724,3,2,2,02/12/2009
ACCID437,460770,451160,-1.075444,53.952974,3,1,1,02/12/2009
ACCID438,460670,451850,-1.076831,53.959187,3,2,1,16/12/2009
ACCID439,460780,458210,-1.073887,54.016329,3,2,1,03/12/2009
ACCID440,460410,451960,-1.080771,53.960206,3,1,1,04/12/2009
ACCID441,457390,447860,-1.127563,53.923703,3,4,3,04/12/2009
ACCID442,458730,454000,-1.10598,53.978732,1,2,1,05/12/2009
ACCID443,460050,452310,-1.086188,53.963393,3,2,1,05/12/2009
ACCID444,457530,454940,-1.124098,53.987314,3,2,1,05/12/2009
ACCID445,459960,451790,-1.087662,53.95873,3,1,1,07/12/2009
ACCID446,464830,451680,-1.013475,53.957155,3,1,1,08/12/2009
ACCID447,459910,451860,-1.08841,53.959365,2,1,1,07/12/2009
ACCID448,460220,452440,-1.083572,53.964542,3,1,1,08/12/2009
ACCID449,460190,452180,-1.08408,53.962209,3,1,1,08/12/2009
ACCID450,460170,448380,-1.085133,53.928061,3,5,1,09/12/2009
ACCID451,459110,448320,-1.101285,53.927644,3,2,1,09/12/2009
ACCID452,460130,451630,-1.085103,53.957273,3,2,1,10/12/2009
ACCID453,463830,451950,-1.028656,53.959706,3,1,1,10/12/2009
ACCID454,462130,456040,-1.05373,53.996668,2,2,2,09/12/2009
ACCID455,460770,451170,-1.075442,53.953064,3,2,1,10/12/2009
ACCID456,459600,452710,-1.092968,53.96704,3,2,1,11/12/2009
ACCID457,455890,453380,-1.149393,53.973475,3,2,2,11/12/2009
ACCID458,460150,450840,-1.084954,53.950171,3,2,1,11/12/2009
ACCID459,460850,452480,-1.073962,53.964827,3,2,1,12/12/2009
ACCID460,460010,451960,-1.086867,53.960252,3,2,1,12/12/2009
ACCID461,458520,449250,-1.110092,53.936068,3,4,2,12/12/2009
ACCID462,460050,453520,-1.08595,53.974267,3,2,1,14/12/2009
ACCID463,456780,451110,-1.136247,53.952978,3,2,1,07/12/2009
ACCID464,460870,452500,-1.073654,53.965005,3,2,1,14/12/2009
ACCID465,459110,447510,-1.101442,53.920364,3,2,1,14/12/2009
ACCID466,465400,451690,-1.004788,53.957174,3,2,1,15/12/2009
ACCID467,460140,451630,-1.084951,53.957272,3,1,1,15/12/2009
ACCID468,459400,448410,-1.096852,53.92842,3,2,1,16/12/2009
ACCID469,461610,451050,-1.062668,53.951887,3,1,1,17/12/2009
ACCID470,457410,451390,-1.126596,53.955424,3,2,1,17/12/2009
ACCID471,457350,449750,-1.127818,53.940693,2,1,1,18/12/2009
ACCID472,467980,448090,-0.966275,53.92449,3,2,2,18/12/2009
ACCID473,467030,453260,-0.979606,53.971074,3,2,2,18/12/2009
ACCID474,464390,456340,-1.019197,53.999088,3,2,1,18/12/2009
ACCID475,463680,456370,-1.03002,53.999445,3,2,1,19/12/2009
ACCID476,463600,456370,-1.03124,53.999455,3,1,2,18/12/2009
ACCID477,467740,453950,-0.968631,53.977182,3,1,1,19/12/2009
ACCID478,456830,451520,-1.135409,53.956657,3,2,1,23/12/2009
ACCID479,463050,460580,-1.038758,54.037356,3,1,1,25/12/2009
ACCID480,458620,455470,-1.107375,53.991955,3,2,1,26/12/2009
ACCID481,462180,447000,-1.054806,53.915422,3,1,1,26/12/2009
ACCID482,460390,451640,-1.081139,53.957332,3,1,1,29/12/2009
ACCID483,460430,451430,-1.080571,53.955441,3,2,1,29/12/2009
ACCID484,458760,455230,-1.105286,53.989782,3,2,1,30/12/2009
ACCID485,455950,452460,-1.148647,53.9652,3,1,1,30/12/2009
ACCID486,460040,453500,-1.086107,53.974088,3,2,1,01/01/2005
ACCID487,460370,452820,-1.081211,53.967939,3,2,1,05/01/2005
ACCID488,460930,454930,-1.072254,53.986835,3,2,1,05/01/2005
ACCID489,460870,450600,-1.074032,53.94793,3,2,1,05/01/2005
ACCID490,456770,454010,-1.135861,53.979041,2,2,1,05/01/2005
ACCID491,457000,447640,-1.133542,53.921769,3,1,1,05/01/2005
ACCID492,461840,452470,-1.058876,53.96462,3,2,1,06/01/2005
ACCID493,460050,457720,-1.085123,54.012011,3,2,1,06/01/2005
ACCID494,455940,451120,-1.149044,53.953159,3,2,3,09/01/2005
ACCID495,462680,450450,-1.046489,53.946366,3,1,1,09/01/2005
ACCID496,461710,451320,-1.06109,53.954301,1,2,1,10/01/2005
ACCID497,456790,450930,-1.136128,53.951359,3,2,1,10/01/2005
ACCID498,464050,455320,-1.024597,53.989964,3,2,2,11/01/2005
ACCID499,461070,449470,-1.071211,53.937752,3,1,1,12/01/2005
